,keyword,title,author,body,time,date,status,votes,num_comments,num_comment_pages,link,has_status_update,status_message,status_update_date
0,implemented,[Mobile] Click lyric to go to lyric time,marcosw,To be able to go to the lyric part of a song and click/tap on a verse and get sent to it directly. Meaning if you click a lyric that plays at the one minute mark you get taken to the one minute mark and it continues playing.,02:43 AM,‎2022-02-08,implemented,311,10,1,https://community.spotify.com/t5/Implemented-Ideas/Mobile-Click-lyric-to-go-to-lyric-time/idi-p/5340042?search-action-id=347302516555&search-result-uid=5340042,True,"Updated on 2022-12-06 Hey folks,     Thanks for coming to the Spotify Idea Exchange and voting to make this happen.     We're happy to announce that this feature is now available on Android, iOS and Desktop.     Once again, thanks for helping us make Spotify better, by participating here on the Community. ",2022-12-06
1,implemented,"[Mobile][Your Library] ""Spotify Playlists"" folder",Peter,"Idea: Create a separate folder in Your Library (similar to Your Episodes for podcasts - see screenshot) where all your Spotify editorial playlists are saved when liked. Use case: I'm a heavy mobile app user and I have liked countless numbers of Spotify playlists, but I don't have an easy way of finding and organising them. Instead of users having to do so manually, Spotify could create a separate directory where, every time I like a Spotify playlist, it is automatically saved under it. It could simply be called ""Spotify Playlists"". Currently (as of Spotify for Android version 8.6.88.1104), you can go to Your Library, filter by Playlists and sort by Creator, and scroll down to S to see a list of your saved Spotify playlists. However, the advantage of having a separate directory (in addition to ease of use) is that it would be able to have additional features and sorting capability (e.g. by genre/mood, similar to Liked Songs).",08:52 AM,‎2022-01-04,implemented,102,10,1,https://community.spotify.com/t5/Implemented-Ideas/Mobile-Your-Library-quot-Spotify-Playlists-quot-folder/idi-p/5322875?search-action-id=347302516555&search-result-uid=5322875,True,"Updated on 2022-10-12 Hey folks,     Thanks for coming to the Spotify Idea Exchange and voting to make this happen.     We're happy to announce that this feature is now available on mobile.     Once again, thanks for helping us make Spotify better, by participating here on the Community. ",2022-10-12
2,implemented,[AutoPlay] Option to toggle Autoplay on/off across all devices/platforms,nirshtuhl,The Autoplay setting isn't working for connected devices and the web player. We need the Autoplay setting to work the same as it does on desktop and when playing on the phone.,07:39 PM,‎2021-10-26,implemented,1667,370,37,https://community.spotify.com/t5/Implemented-Ideas/AutoPlay-Option-to-toggle-Autoplay-on-off-across-all-devices/idi-p/5283776?search-action-id=347302516555&search-result-uid=5283776,True,"Updated on 2023-02-07   Hey folks,   The ""Autoplay"" setting was recently updated. The single ""Autoplay"" setting in the desktop and mobile apps will now enable or disable Autoplay across all devices on your account. This change makes it easier to manage instead of there being 2 different settings.   You only need to change the Autoplay setting in one of the apps, either desktop or mobile, and it will apply to your account on all devices including the Web Player and Spotify Connect devices.   You can read the support article for more information about the Autoplay feature.",2023-02-07
3,implemented,[All Platforms] Support for Apple Shareplay,jtylerhartley,"I would love to see Spotify adopt support for Apple's new Shareplay feature. Apple Shareplay would allow someone to share music over Facetime. Assuming this is implemented, it would add a whole new level of connectivity to Spotify. - SharePlay - Apple Developer Update- Shareplay works if you're using iOS 15.1/iPadOS 15.1+ and Spotify app version 8.6.78+ (Support Article: Spotify on SharePlay - Spotify)- Shareplay has yet to be supported on MacOS.",07:32 PM,‎2021-10-25,implemented,106,10,1,https://community.spotify.com/t5/Implemented-Ideas/All-Platforms-Support-for-Apple-Shareplay/idi-p/5283212?search-action-id=347302516555&search-result-uid=5283212,True,"Updated on 2022-05-24Hey folks, Thanks for coming to the Spotify Idea Exchange and voting to make this happen. We're happy to announce that Spotify is now available on SharePlay. There's more info here. Once again, thanks for helping us make Spotify better, by participating here on the Community.   Cheers!",2022-05-24Hey
4,implemented,[Desktop][Playlists] Enhance Playlist on Desktop,caduceusmi7,"Please introduce the Enhance Playlist on Desktop, I see only the original not-enhanced playlist on Desktop.",03:22 PM,‎2021-10-21,implemented,620,40,4,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Playlists-Enhance-Playlist-on-Desktop/idi-p/5281054?search-action-id=347302516555&search-result-uid=5281054,True,Updated on 2022-10-07  Hey folks!   Thanks for coming to the Spotify Idea Exchange and voting to make this happen.    We're happy to announce that the Enhance Playlist on Desktop feature is now available!   Thank you for helping us make Spotify better!Cheers!     ,2022-10-07
5,implemented,"[Discover] Please add a ""Not Interested"" Button",jasonedokpa,"As the title suggests, it would be useful if Spotify had a ""not interested"" button like YouTube does for videos. I have been using Spotify for many years and still receive a lot of recommendations for playlists and podcasts that I am simply not interested in. One such example is ""Learn Korean and Korean Culture"" by jerry. I have no interest in learning Korean whatsoever, so it would be useful for me to remove recommendations such as these.",10:49 AM,‎2021-10-11,implemented,3655,200,20,https://community.spotify.com/t5/Implemented-Ideas/Discover-Please-add-a-quot-Not-Interested-quot-Button/idi-p/5275001?search-action-id=347302516555&search-result-uid=5275001,True,"Updated on 2023-02-23Hi everyone, Thank you for all the support and feedback you've given to this idea! We have some exciting news to share with you: in the mobile app, it's now possible to remove content recommendations from the subfeeds (Music and Podcasts & Shows) of your Home screen by tapping Not interested in the context menu of the cards:      The content you mark as ""not interested"" will instantly be removed from your subfeed and won't show up again. Any other songs/albums/episodes by that artist/podcast show will also be filtered out from future recommendations. After tapping Not interested, an Undo button will pop up at the bottom of the screen for a short time so you can revert the changes. In case you don't see the button in the context menu of the cards, make sure that you're running the latest version of Spotify. If you're having trouble with, or have any other questions about this feature, feel free to reach out in the relevant Help board here. Thanks again for helping us make Spotify better. We're always striving to provide the best possible user experience and your feedback is always appreciated.",2023-02-23Hi
6,implemented,[iOS][Developer] full lyrics while listening to songs designed in a clean Spotify themed animation,SarpG,"I feel that instead of just having behind the lyrics, having a full page of animated lyrics would make the listening experience for any song a lott better. There could be specific animations relating to the specific song you are listening to atm. Idk could be dope",10:07 PM,‎2021-09-26,implemented,290,20,2,https://community.spotify.com/t5/Implemented-Ideas/iOS-Developer-full-lyrics-while-listening-to-songs-designed-in-a/idi-p/5266324?search-action-id=347302516555&search-result-uid=5266324,True,"Updated on 2021-11-18Hey folks,   Thanks for your feedback on the Lyrics feature. We’ve heard you and we’re happy to announce Lyrics are here!   You can find Lyrics on Free and Premium for users across iOS and Android devices, desktop, gaming consoles, and TV.   To learn more about the roll out and how to access lyrics, view this announcement.   Cheers!",2021-11-18Hey
7,implemented,[Desktop][Other] Let us choose to pin (or don't) the song details on fullscreen mode,MrScottyTay,"It's came to my attention that over the weekend a new change got added to the fullscreen mode on the desktop app that now makes that album art, song name and artist name fade away (plus finally adding a volume control on full screen - which is great by the way). This change pretty much breaks the usability of full screen for me now as Full Screen mode was a way for everyone in the office able to see what song is currently playing, but now we just get a darkened artist image at best, at worst it's just a grey gradient background for those songs by artists without images. This makes the whole experience pretty awful in my opinion. At the very least there should be a way to pin that information at all times for those of us that like to be able to see that information at a glance.",09:13 AM,‎2021-08-23,implemented,469,90,9,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Other-Let-us-choose-to-pin-or-don-t-the-song-details-on/idi-p/5251462?search-action-id=347302516555&search-result-uid=5251462,True,"Updated on 2021-11-15Hey folks,   One more thanks for supporting this Idea.   We're happy to confirm this functionality has now returned!   If you'd like to know more about how your feedback reaches Spotify via the Idea Exchange, take a look here.   To report any issues with Spotify, head over here and select the right category.   Cheers!",2021-11-15Hey
8,implemented,[Mobile][Other] Lyrics Sharing,arkangel-glitch,"Hello! Here's my idea! One of the best parts about listening to songs is that it reminds you of things, people, places, memories, pretty much anything! Especially song lyrics, right? Sometimes a whole song can remind you of someone but more often than not, it's a couple of lyrics that hits the mark! Imagine how nice it would be if there was a feature that enabled you to share a single line, or a stanza alone from a whole song to someone! It would be a more accurate dedication of a song to someone and we won't need to worry about having to listen to the whole song >_< Something to definitely try out. There could be an option to send out the lyrics through other social media apps! The prompt could read, 'Vizz(name) has dedicated these lyrics to you' OR 'Vizz(name) was reminded of you when listening to (song)' Well, that's basically IT! Thank you for reading!",09:00 AM,‎2021-07-21,implemented,34,20,2,https://community.spotify.com/t5/Implemented-Ideas/Mobile-Other-Lyrics-Sharing/idi-p/5237636?search-action-id=347302516555&search-result-uid=5237636,True,"Updated on 2021-11-22Hello @arkangel-glitch,  Thanks for your feedback. We’ve heard you and we’re happy to announce Lyrics are here with the sharing feature!   You can find Lyrics on Free and Premium for users across iOS and Android devices, desktop, gaming consoles, and TV. To learn more about the roll out and how to access lyrics, view this announcement.    Cheers 🎵",2021-11-22Hello
9,implemented,Lyrics on Fullscreen,farisghazali,Lyrics on fullscreen would be great if you want to use it to have karaoke session with friends or use it as a background for your tv or second screen!! The background for the fullscreen with lyrics can be the album/song art or the existing artist picture. (optional) Ability to show lyrics for the full half-screen without the left-side toolbar. Would also recommend to have option to enable/disable the lyrics in fullscreen for other community users preferences.,05:23 PM,‎2021-06-30,implemented,218,40,4,https://community.spotify.com/t5/Implemented-Ideas/Lyrics-on-Fullscreen/idi-p/5229221?search-action-id=347302516555&search-result-uid=5229221,True,"Updated on 2023-01-20 Hey folks,     Thanks for coming to the Spotify Idea Exchange and voting to make this happen.     We're happy to announce that Lyrics are now available in Fullscreen mode.     Once again, thanks for helping us make Spotify better. ",2023-01-20
